Periode,Jumlah
19-Jan,180
19-Feb,268
19-Mar,126
19-Apr,196
19-May,168
19-Jun,114
19-Jul,292
19-Aug,467
19-Sep,353
19-Oct,672
19-Nov,758
19-Dec,414
20-Jan,396
20-Feb,420
20-Mar,545
20-Apr,598
20-May,368
20-Jun,270
20-Jul,658
20-Aug,881
20-Sep,1404
20-Oct,1110
20-Nov,2016
20-Dec,1381
21-Jan,1022
21-Feb,561
21-Mar,782
21-Apr,821
21-May,456
21-Jun,580
21-Jul,484
21-Aug,492
21-Sep,491
21-Oct,498
21-Nov,514
21-Dec,686
22-Jan,706
22-Feb,552
22-Mar,434
22-Apr,164
22-May,228
22-Jun,450
22-Jul,721
22-Aug,985
22-Sep,826
22-Oct,932
22-Nov,1260
22-Dec,1819
23-Jan,403
23-Feb,1030
23-Mar,1431
23-Apr,682
23-May,332
23-Jun,777
23-Jul,2632
23-Aug,2066
23-Sep,1779
23-Oct,1110
23-Nov,5040
23-Dec,4328
24-Jan,1430
24-Feb,1236
24-Mar,6040
24-Apr,4953
24-May,3121
24-Jun,8571
24-Jul,3904
24-Aug,12013
24-Sep,5248
24-Oct,3673
